

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

097.209  000.103  000.103: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/gzip.vim
097.246  000.010  000.010: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/health.vim
097.304  000.033  000.033: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/man.vim
098.909  000.130  000.130: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
099.090  001.760  001.630: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchit.vim
099.248  000.119  000.119: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchparen.vim
099.521  000.241  000.241: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/netrwPlugin.vim
099.703  000.021  000.021: sourcing /Users/caoyu/.local/share/nvim/rplugin.vim
099.706  000.145  000.124: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/rplugin.vim
099.816  000.051  000.051: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/shada.vim
099.865  000.016  000.016: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/spellfile.vim
099.980  000.070  000.070: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tarPlugin.vim
100.064  000.052  000.052: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tohtml.vim
100.111  000.016  000.016: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tutor.vim
100.228  000.087  000.087: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/zipPlugin.vim
100.850  000.140  000.140: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-tree.lua/plugin/nvim-tree-startup.lua
102.740  000.052  000.052: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/glow.nvim/plugin/glow.lua
104.471  012.379: loading rtp plugins
104.679  000.208: loading packages
105.733  000.151  000.151: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/tabular/autoload/tabular.vim
106.607  001.234  001.083: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/tabular/after/plugin/TabularMaps.vim
106.981  000.057  000.057: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim/autoload/dracula.vim
106.988  000.267  000.210: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim/after/plugin/dracula.vim
107.162  000.983: loading after plugins
107.168  000.006: inits 3
108.456  001.288: reading ShaDa
108.960  000.178  000.178: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions.vim
109.072  000.049  000.049: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/quickfix.vim
109.208  000.039  000.039: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/netrw.vim
109.317  000.041  000.041: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/fzf.vim
109.589  000.059  000.059: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/section.vim
109.814  000.136  000.136: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/highlighter.vim
109.963  000.528  000.333: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/term.vim
110.136  000.076  000.076: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/hunks.vim
110.259  000.054  000.054: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tagbar.vim
110.388  000.042  000.042: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/csv.vim
110.581  000.065  000.065: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/nvimlsp.vim
110.705  000.051  000.051: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/coc.vim
110.883  000.092  000.092: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/whitespace.vim
111.021  000.045  000.045: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/neomake.vim
111.176  000.058  000.058: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/po.vim
111.316  000.074  000.074: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/wordcount.vim
111.494  000.117  000.117: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline.vim
111.686  000.066  000.066: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/autoshow.vim
111.909  000.110  000.110: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/tabs.vim
112.135  000.116  000.116: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/buffers.vim
112.306  000.044  000.044: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/keymap.vim
112.893  000.424  000.424: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/autoload/vimtex.vim
113.033  000.090  000.090: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/vimtex.vim
113.166  000.050  000.050: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/searchcount.vim
117.898  000.061  000.061: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/themes.vim
118.086  000.351  000.290: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/themes/dark.vim
128.067  000.170  000.170: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/builder.vim
128.426  000.083  000.083: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/default.vim
151.427  039.956: opening buffers
151.544  000.117: BufEnter autocommands
151.545  000.002: editing files in windows
152.401  000.400  000.400: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-startify/autoload/startify.vim
152.570  000.063  000.063: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/buflist.vim
153.156  000.516  000.516: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-startify/autoload/startify/fortune.vim
158.268  000.114  000.114: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-startify/syntax/startify.vim
166.942  000.169  000.169: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/NERDTree/syntax/nerdtree.vim
173.521  000.119  000.119: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/ctrlspace.vim
173.682  000.084  000.084: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/tabws.vim
173.977  000.117  000.117: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-airline/autoload/airline/extensions/tabline/builder.vim
190.291  037.164: VimEnter autocommands
190.294  000.003: UIEnter autocommands
190.294  000.001: before starting main loop
205.163  014.868: first screen update
205.165  000.002: --- NVIM STARTED ---
