

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

079.252  000.045  000.045: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/DAPInstall.nvim/plugin/dicmds.vim
079.380  000.028  000.028: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimtex/plugin/vimtex.vim
079.649  000.115  000.115: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/tabular/plugin/Tabular.vim
079.899  000.101  000.101: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-pandoc/plugin/pandoc.vim
080.062  000.076  000.076: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/csv.vim/plugin/csv.vim
080.208  000.056  000.056: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
080.318  000.020  000.020: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/orgmode/plugin/orgmode.vim
080.757  000.313  000.313: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-table-mode/plugin/table-mode.vim
080.881  000.029  000.029: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/plenary.nvim/plugin/plenary.vim
081.160  000.172  000.172: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/jupytext.vim/plugin/jupytext.vim
081.285  000.037  000.037: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-be-good/plugin/vim-be-good.vim
081.417  000.045  000.045: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/leetcode.vim/plugin/leetcode.vim
081.740  000.049  000.049: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/train.nvim/autoload/train/builtin.vim
081.776  000.273  000.224: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/train.nvim/plugin/train.vim
082.431  000.550  000.550: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter/plugin/nvim-treesitter.vim
083.666  000.022  000.022: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-devicons/autoload/devicons/plugins/startify.vim
083.679  001.154  001.133: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-devicons/plugin/webdevicons.vim
083.798  000.028  000.028: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-web-devicons/plugin/nvim-web-devicons.vim
084.081  000.084  000.084: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-illuminate/plugin/illuminate.vim
084.336  000.152  000.152: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-ts-rainbow/plugin/rainbow.vim
084.533  000.047  000.047: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-peekup/plugin/nvim-peekup.vim
084.941  000.035  000.035: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neomake/autoload/neomake/setup.vim
084.996  000.368  000.333: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/neomake/plugin/neomake.vim
085.169  000.086  000.086: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-highlightedyank/plugin/highlightedyank.vim
086.305  001.046  001.046: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-lspconfig/plugin/lspconfig.vim
086.624  000.216  000.216: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vimpeccable/plugin/vimp.vim
086.746  000.033  000.033: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/popfix/plugin/popfix.vim
087.261  000.092  000.092: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/gzip.vim
087.299  000.009  000.009: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/health.vim
087.355  000.030  000.030: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/man.vim
089.015  000.122  000.122: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
089.098  001.717  001.595: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchit.vim
089.203  000.082  000.082: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/matchparen.vim
089.456  000.230  000.230: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/netrwPlugin.vim
089.619  000.017  000.017: sourcing /Users/caoyu/.local/share/nvim/rplugin.vim
089.621  000.133  000.116: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/rplugin.vim
089.694  000.045  000.045: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/shada.vim
089.739  000.015  000.015: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/spellfile.vim
089.834  000.065  000.065: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tarPlugin.vim
089.911  000.049  000.049: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tohtml.vim
089.954  000.014  000.014: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/tutor.vim
090.064  000.083  000.083: sourcing /opt/homebrew/Cellar/neovim/0.6.1/share/nvim/runtime/plugin/zipPlugin.vim
090.664  000.104  000.104: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-tree.lua/plugin/nvim-tree-startup.lua
091.847  000.149  000.149: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/nvim-treesitter-endwise/plugin/nvim-treesitter-endwise.lua
092.922  000.042  000.042: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/glow.nvim/plugin/glow.lua
094.742  012.520: loading rtp plugins
094.955  000.213: loading packages
096.077  000.133  000.133: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/tabular/autoload/tabular.vim
096.973  001.266  001.134: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/tabular/after/plugin/TabularMaps.vim
097.347  000.056  000.056: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim/autoload/dracula.vim
097.355  000.259  000.203: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim/after/plugin/dracula.vim
097.550  001.069: loading after plugins
097.557  000.006: inits 3
099.007  001.450: reading ShaDa
099.539  000.532: opening buffers
099.706  000.167: BufEnter autocommands
099.708  000.001: editing files in windows
100.475  000.426  000.426: sourcing /Users/caoyu/.local/share/nvim/autoload/plugged/vim-startify/autoload/startify.vim
